band,album,year,Genre
Bon Jovi,New Jersey,1988,Rock
Aerosmith,Pump,1989,Classic Rock
Guns n’ Roses,Appetite for destruction,1987,Heavy Metal
Metallica,And Justice for All,1988,Thrash Metal
Slayer,Reign in Blood,1986,Thrash Metal
Iron Maiden,The Number of the Beast ,1982,Heavy Metal
Judas Priest,British Steel,1980,Heavy Metal
Queensriche ,Operation Mindcrime,1988,Heavy Metal
Megadeth,Peace Sells but Who’s Buying?,1986,Thrash Metal
Ozzy Osbourne,Blizzard of Ozz,1980,Heavy Metal
Black Sabbath,Heaven and Hell,1980,Heavy Metal
Def Leppard,Hysteria,1987,Rock
Aerosmith,Permanent Vacation,1986,Classic Rock
Alice Cooper,Trash,1989,Classic Rock
Bon Jovi,Bon Jovi,1986,Rock
Pearl Jam,Ten,1993,Alternative
Alice in Chains,Dirt,1990,Alternative
Soundgarden,Superunknown,1994,Alternative
Soundgarden,Badmotorfinger,1991,Alternative
Nirvana,Nevermind,1992,Alternative
Pearl Jam,Vs,1991,Alternative
Temple of the dog,Temple of the dog,1991,Alternative
Nirvana,In Utero,1993,Alternative
Pantera,Far Beyond Driven,1994,Thrash Metal
